                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0189,                 4.0353,                 1.8672,                      0,                      0,                      0,                      0,                 1.2084,                 9.8083,                 1.5157,                      0,                      0,                      0
                      2,                 2.2127,                 4.0756,                 2.0357,                      0,                      0,                      0,                      0,                 1.2155,                 9.6053,                 1.5248,             1.1782e-06,             1.1782e-06,             1.1782e-06
                      3,                 2.3341,                 3.8451,                 2.0344,                      0,                      0,                      0,                      0,                 1.2098,                 9.4336,                 1.5194,             2.3329e-06,             2.3329e-06,             2.3329e-06
                      4,                 2.2095,                  4.179,                 1.7766,                      0,                      0,                      0,                      0,                 1.1998,                 9.1824,                 1.5218,              3.464e-06,              3.464e-06,              3.464e-06
                      5,                 2.1374,                 3.7107,                  1.771,                      0,                      0,                      0,                      0,                 1.1926,                 8.9595,                 1.5186,             4.5715e-06,             4.5715e-06,             4.5715e-06
                      6,                 1.7252,                 3.3887,                 1.8422,                      0,                      0,                      0,                      0,                 1.1718,                 8.7369,                 1.5043,             5.6555e-06,             5.6555e-06,             5.6555e-06
                      7,                 1.9643,                   4.21,                 1.7986,                      0,                      0,                      0,                      0,                 1.1749,                 8.4314,                  1.507,             6.7159e-06,             6.7159e-06,             6.7159e-06
                      8,                  2.351,                 3.7428,                 2.1085,                      0,                      0,                      0,                      0,                 1.1494,                 8.1088,                 1.4887,             7.7527e-06,             7.7527e-06,             7.7527e-06
                      9,                 1.9025,                 3.7053,                 1.6345,                      0,                      0,                      0,                      0,                  1.153,                 7.8183,                 1.4841,              8.766e-06,              8.766e-06,              8.766e-06
                     10,                 1.9527,                 3.4192,                 1.9149,                      0,                      0,                      0,                      0,                   1.16,                 7.4321,                 1.4657,             9.7557e-06,             9.7557e-06,             9.7557e-06
                     11,                 1.9583,                 3.4715,                 1.6985,                      0,                      0,                      0,                      0,                 1.1764,                 7.0113,                 1.4664,             1.0722e-05,             1.0722e-05,             1.0722e-05
                     12,                 2.1524,                 3.2719,                 1.8114,                      0,                      0,                      0,                      0,                 1.1865,                 6.6243,                 1.4688,             1.1664e-05,             1.1664e-05,             1.1664e-05
                     13,                 2.0732,                 3.1922,                 1.8456,                   0.25,                  0.125,                0.14062,                 0.1125,                 1.1807,                 6.3318,                 1.4679,             1.2584e-05,             1.2584e-05,             1.2584e-05
                     14,                 2.0803,                 2.9733,                 1.9579,                0.33333,                   0.25,                0.22467,                0.15563,                 1.1973,                  5.948,                 1.4721,             1.3479e-05,             1.3479e-05,             1.3479e-05
                     15,                 2.0573,                 3.2851,                 1.7171,                0.22222,                   0.25,                0.18244,                0.12544,                 1.2068,                 5.5664,                 1.4833,             1.4351e-05,             1.4351e-05,             1.4351e-05
                     16,                 1.9592,                 2.8963,                 1.6953,                0.22222,                   0.25,                0.26944,                0.20597,                 1.2453,                 5.1103,                 1.5286,             1.5199e-05,             1.5199e-05,             1.5199e-05
                     17,                 1.9626,                 2.4357,                 1.7686,                0.30769,                    0.5,                0.43457,                0.32997,                 1.2771,                 4.7148,                 1.5243,             1.6024e-05,             1.6024e-05,             1.6024e-05
                     18,                 1.7864,                 2.3966,                 1.6582,                0.30769,                    0.5,                0.43457,                0.32997,                 1.2771,                 4.7148,                 1.5243,             1.6825e-05,             1.6825e-05,             1.6825e-05
                     19,                 1.8436,                 2.3859,                 1.6245,                0.28571,                    0.5,                0.45586,                0.34472,                 1.2879,                 4.2844,                   1.53,             1.7603e-05,             1.7603e-05,             1.7603e-05
                     20,                 1.9028,                 2.2956,                 1.7228,                0.28571,                    0.5,                0.45586,                0.34472,                 1.2879,                 4.2844,                   1.53,             1.8357e-05,             1.8357e-05,             1.8357e-05
                     21,                 1.6787,                 2.2434,                 1.5814,                0.66705,                   0.25,                0.51153,                0.37158,                 1.2717,                 3.6623,                 1.5006,             1.9088e-05,             1.9088e-05,             1.9088e-05
                     22,                 1.8191,                 1.6476,                 1.5955,                0.66705,                   0.25,                0.51153,                0.37158,                 1.2717,                 3.6623,                 1.5006,             1.9795e-05,             1.9795e-05,             1.9795e-05
                     23,                 1.7306,                 1.7625,                 1.6361,                0.25926,                  0.875,                 0.6234,                0.45687,                 1.2807,                 3.2018,                 1.5059,             2.0478e-05,             2.0478e-05,             2.0478e-05
                     24,                 1.5748,                 1.5032,                 1.4499,                0.25926,                  0.875,                 0.6234,                0.45687,                 1.2807,                 3.2018,                 1.5059,             2.1138e-05,             2.1138e-05,             2.1138e-05
                     25,                 1.7681,                 2.1985,                 1.5507,                0.79979,                    0.5,                0.73553,                0.52639,                 1.2813,                 2.6971,                 1.4927,             2.1774e-05,             2.1774e-05,             2.1774e-05
                     26,                 1.5589,                 1.4828,                 1.5421,                0.79979,                    0.5,                0.73553,                0.52639,                 1.2813,                 2.6971,                 1.4927,             2.2387e-05,             2.2387e-05,             2.2387e-05
                     27,                 1.9223,                 2.0293,                 1.6774,                      1,                0.49772,                0.80426,                0.57216,                 1.2556,                 2.1855,                 1.4588,             2.2976e-05,             2.2976e-05,             2.2976e-05
                     28,                   1.81,                 1.2901,                 1.4736,                      1,                0.49772,                0.80426,                0.57216,                 1.2556,                 2.1855,                 1.4588,             2.3542e-05,             2.3542e-05,             2.3542e-05
                     29,                 1.3878,                 1.2724,                 1.3453,                0.73193,                0.68675,                0.85818,                0.59992,                 1.2432,                 1.7885,                 1.4424,             2.4084e-05,             2.4084e-05,             2.4084e-05
                     30,                 1.7136,                 2.1481,                 1.6514,                0.73193,                0.68675,                0.85818,                0.59992,                 1.2432,                 1.7885,                 1.4424,             2.4602e-05,             2.4602e-05,             2.4602e-05
                     31,                 1.5369,                 1.4825,                 1.3389,                0.75881,                  0.875,                0.89944,                0.62727,                 1.2393,                 1.3899,                 1.4366,             2.5097e-05,             2.5097e-05,             2.5097e-05
                     32,                 1.7543,                 1.7345,                 1.5319,                0.75881,                  0.875,                0.89944,                0.62727,                 1.2393,                 1.3899,                 1.4366,             2.5568e-05,             2.5568e-05,             2.5568e-05
                     33,                 1.8814,                 1.8156,                 1.6736,                0.79159,                0.95268,                0.95475,                0.64038,                 1.2294,                  1.114,                 1.4302,             2.6016e-05,             2.6016e-05,             2.6016e-05
                     34,                 1.6244,                  1.516,                 1.3974,                0.79159,                0.95268,                0.95475,                0.64038,                 1.2294,                  1.114,                 1.4302,              2.644e-05,              2.644e-05,              2.644e-05
                     35,                 1.7207,                 1.4927,                 1.5119,                0.85012,                  0.875,                0.94602,                 0.6322,                 1.2015,                0.96298,                 1.4111,             2.6841e-05,             2.6841e-05,             2.6841e-05
                     36,                  1.642,                 1.6177,                 1.5223,                0.85012,                  0.875,                0.94602,                 0.6322,                 1.2015,                0.96298,                 1.4111,             2.7218e-05,             2.7218e-05,             2.7218e-05
                     37,                 1.7388,                 1.6893,                  1.464,                      1,                0.86147,                  0.971,                0.64386,                 1.1992,                0.82772,                 1.4081,             2.7572e-05,             2.7572e-05,             2.7572e-05
                     38,                 1.8647,                 1.8043,                 1.6121,                      1,                0.86147,                  0.971,                0.64386,                 1.1992,                0.82772,                 1.4081,             2.7902e-05,             2.7902e-05,             2.7902e-05
                     39,                 1.5654,                 1.3488,                  1.428,                      1,                0.86625,                  0.971,                0.64757,                 1.1937,                0.75536,                 1.4005,             2.8208e-05,             2.8208e-05,             2.8208e-05
                     40,                 1.4337,                 1.1648,                 1.3189,                      1,                0.86625,                  0.971,                0.64757,                 1.1937,                0.75536,                 1.4005,             2.8491e-05,             2.8491e-05,             2.8491e-05
                     41,                 1.7485,                 1.4427,                 1.4413,                 0.9951,                  0.875,                  0.971,                0.64676,                 1.1794,                0.68189,                  1.386,              2.875e-05,              2.875e-05,              2.875e-05
                     42,                 1.5449,                 1.2943,                 1.4579,                 0.9951,                  0.875,                  0.971,                0.64676,                 1.1794,                0.68189,                  1.386,             2.8986e-05,             2.8986e-05,             2.8986e-05
                     43,                 1.4802,                 1.7113,                 1.4431,                      1,                0.98582,                  0.995,                 0.6861,                 1.1674,                0.61068,                 1.3764,             2.9198e-05,             2.9198e-05,             2.9198e-05
                     44,                 1.7233,                 1.5823,                 1.4972,                      1,                0.98582,                  0.995,                 0.6861,                 1.1674,                0.61068,                 1.3764,             2.9387e-05,             2.9387e-05,             2.9387e-05
                     45,                 1.5918,                 1.0334,                 1.4182,                      1,                0.99299,                  0.995,                0.68642,                 1.1695,                0.56334,                 1.3699,             2.9552e-05,             2.9552e-05,             2.9552e-05
                     46,                  1.503,                 1.1459,                 1.3307,                      1,                0.99299,                  0.995,                0.68642,                 1.1695,                0.56334,                 1.3699,             2.9693e-05,             2.9693e-05,             2.9693e-05
                     47,                 1.8684,                  1.663,                 1.5763,                      1,                      1,                  0.995,                0.69085,                 1.1742,                0.53192,                 1.3684,             2.9811e-05,             2.9811e-05,             2.9811e-05
                     48,                 1.4045,                  1.167,                 1.3772,                      1,                      1,                  0.995,                0.69085,                 1.1742,                0.53192,                 1.3684,             2.9906e-05,             2.9906e-05,             2.9906e-05
                     49,                 1.1582,                0.96641,                 1.2497,                0.99774,                      1,                  0.995,                 0.6988,                  1.179,                0.51954,                 1.3581,             2.9977e-05,             2.9977e-05,             2.9977e-05
                     50,                 1.2884,                0.97596,                 1.2086,                0.99774,                      1,                  0.995,                 0.6988,                  1.179,                0.51954,                 1.3581,             3.0024e-05,             3.0024e-05,             3.0024e-05
                     51,                 1.3082,                 1.0762,                 1.2982,                0.99439,                      1,                  0.995,                0.70019,                 1.1775,                0.50325,                 1.3528,             3.0048e-05,             3.0048e-05,             3.0048e-05
                     52,                  1.693,                 1.3281,                 1.4285,                0.99439,                      1,                  0.995,                0.70019,                 1.1775,                0.50325,                 1.3528,             3.0048e-05,             3.0048e-05,             3.0048e-05
                     53,                 1.4538,                 1.1053,                  1.382,                0.99439,                      1,                  0.995,                0.70019,                 1.1775,                0.50325,                 1.3528,             3.0024e-05,             3.0024e-05,             3.0024e-05
                     54,                 1.4613,                 1.1312,                 1.4313,                0.99181,                      1,                  0.995,                0.68296,                 1.1758,                 0.4891,                 1.3511,             2.9977e-05,             2.9977e-05,             2.9977e-05
                     55,                 1.7644,                 1.4705,                 1.4449,                0.99181,                      1,                  0.995,                0.68296,                 1.1758,                 0.4891,                 1.3511,             2.9907e-05,             2.9907e-05,             2.9907e-05
                     56,                 1.3347,                 1.1517,                 1.3625,                0.99181,                      1,                  0.995,                0.68296,                 1.1758,                 0.4891,                 1.3511,             2.9812e-05,             2.9812e-05,             2.9812e-05
                     57,                 1.3278,                 1.0727,                 1.4221,                0.99021,                      1,                  0.995,                0.67485,                 1.1693,                0.48304,                 1.3454,             2.9695e-05,             2.9695e-05,             2.9695e-05
                     58,                 1.3365,                0.99252,                   1.35,                0.99021,                      1,                  0.995,                0.67485,                 1.1693,                0.48304,                 1.3454,             2.9554e-05,             2.9554e-05,             2.9554e-05
                     59,                 1.3317,                0.92881,                 1.3366,                0.99021,                      1,                  0.995,                0.67485,                 1.1693,                0.48304,                 1.3454,             2.9389e-05,             2.9389e-05,             2.9389e-05
                     60,                 1.5713,                 1.0894,                 1.4681,                0.99023,                      1,                  0.995,                0.69517,                 1.1691,                0.47786,                   1.34,               2.92e-05,               2.92e-05,               2.92e-05
                     61,                 1.3776,                0.86287,                 1.3483,                0.99023,                      1,                  0.995,                0.69517,                 1.1691,                0.47786,                   1.34,             2.8988e-05,             2.8988e-05,             2.8988e-05
                     62,                 1.3805,                 1.0378,                 1.2654,                0.99023,                      1,                  0.995,                0.69517,                 1.1691,                0.47786,                   1.34,             2.8753e-05,             2.8753e-05,             2.8753e-05
                     63,                 1.7434,                 1.2058,                   1.48,                0.99135,                      1,                  0.995,                0.69539,                 1.1697,                0.47812,                 1.3443,             2.8494e-05,             2.8494e-05,             2.8494e-05
                     64,                 1.2789,                 0.9393,                 1.2391,                0.99135,                      1,                  0.995,                0.69539,                 1.1697,                0.47812,                 1.3443,             2.8211e-05,             2.8211e-05,             2.8211e-05
                     65,                 1.3565,                0.97513,                 1.4111,                0.99135,                      1,                  0.995,                0.69539,                 1.1697,                0.47812,                 1.3443,             2.7905e-05,             2.7905e-05,             2.7905e-05
                     66,                 1.3795,                 1.2663,                 1.4325,                0.99159,                      1,                  0.995,                0.70195,                 1.1667,                0.47483,                 1.3397,             2.7575e-05,             2.7575e-05,             2.7575e-05
                     67,                 1.2176,                0.84045,                 1.1837,                0.99159,                      1,                  0.995,                0.70195,                 1.1667,                0.47483,                 1.3397,             2.7222e-05,             2.7222e-05,             2.7222e-05
                     68,                 1.5133,                 1.3591,                 1.7537,                0.99159,                      1,                  0.995,                0.70195,                 1.1667,                0.47483,                 1.3397,             2.6845e-05,             2.6845e-05,             2.6845e-05
                     69,                 1.3505,                0.99652,                 1.3631,                0.99099,                      1,                  0.995,                0.70189,                 1.1513,                0.47998,                 1.3221,             2.6445e-05,             2.6445e-05,             2.6445e-05
                     70,                 1.3601,                 1.1767,                 1.3661,                0.99099,                      1,                  0.995,                0.70189,                 1.1513,                0.47998,                 1.3221,             2.6021e-05,             2.6021e-05,             2.6021e-05
                     71,                  1.492,                 1.0533,                   1.36,                0.99099,                      1,                  0.995,                0.70189,                 1.1513,                0.47998,                 1.3221,             2.5573e-05,             2.5573e-05,             2.5573e-05
                     72,                  1.356,                0.95195,                 1.2737,                 0.9901,                      1,                  0.995,                0.70369,                  1.148,                 0.4771,                 1.3173,             2.5102e-05,             2.5102e-05,             2.5102e-05
                     73,                 1.1806,                0.95465,                 1.1947,                 0.9901,                      1,                  0.995,                0.70369,                  1.148,                 0.4771,                 1.3173,             2.4607e-05,             2.4607e-05,             2.4607e-05
                     74,                 1.3036,                 0.9189,                 1.2944,                 0.9901,                      1,                  0.995,                0.70369,                  1.148,                 0.4771,                 1.3173,             2.4089e-05,             2.4089e-05,             2.4089e-05
                     75,                 1.0935,                0.87679,                 1.2667,                0.98981,                      1,                  0.995,                 0.7232,                 1.1511,                0.47613,                 1.3204,             2.3547e-05,             2.3547e-05,             2.3547e-05
                     76,                 1.1632,                0.77226,                 1.2404,                0.98981,                      1,                  0.995,                 0.7232,                 1.1511,                0.47613,                 1.3204,             2.2982e-05,             2.2982e-05,             2.2982e-05
                     77,                 1.5461,                 1.0404,                 1.3429,                0.98981,                      1,                  0.995,                 0.7232,                 1.1511,                0.47613,                 1.3204,             2.2393e-05,             2.2393e-05,             2.2393e-05
                     78,                 1.1557,                0.82173,                  1.208,                0.99026,                      1,                  0.995,                0.72303,                 1.1488,                0.49409,                 1.3233,              2.178e-05,              2.178e-05,              2.178e-05
                     79,                 1.1479,                0.91282,                 1.2356,                0.99026,                      1,                  0.995,                0.72303,                 1.1488,                0.49409,                 1.3233,             2.1144e-05,             2.1144e-05,             2.1144e-05
                     80,                 1.3343,                 1.0339,                  1.329,                0.99026,                      1,                  0.995,                0.72303,                 1.1488,                0.49409,                 1.3233,             2.0485e-05,             2.0485e-05,             2.0485e-05
                     81,                 1.2996,                 0.8652,                 1.2755,                0.99134,                      1,                  0.995,                0.72542,                 1.1504,                0.48372,                 1.3336,             1.9802e-05,             1.9802e-05,             1.9802e-05
                     82,                 1.4818,                0.90943,                 1.3393,                0.99134,                      1,                  0.995,                0.72542,                 1.1504,                0.48372,                 1.3336,             1.9095e-05,             1.9095e-05,             1.9095e-05
                     83,                  1.153,                0.84767,                 1.2174,                0.99134,                      1,                  0.995,                0.72542,                 1.1504,                0.48372,                 1.3336,             1.8365e-05,             1.8365e-05,             1.8365e-05
                     84,                 1.2641,                0.76866,                 1.1987,                0.99228,                      1,                  0.995,                0.72521,                  1.152,                0.49175,                 1.3377,             1.7611e-05,             1.7611e-05,             1.7611e-05
                     85,                 1.2624,                0.85119,                 1.2229,                0.99228,                      1,                  0.995,                0.72521,                  1.152,                0.49175,                 1.3377,             1.6833e-05,             1.6833e-05,             1.6833e-05
                     86,                 1.2662,                0.97771,                 1.2285,                0.99228,                      1,                  0.995,                0.72521,                  1.152,                0.49175,                 1.3377,             1.6032e-05,             1.6032e-05,             1.6032e-05
                     87,                 1.3358,                0.91463,                 1.3036,                0.99228,                      1,                  0.995,                0.72521,                  1.152,                0.49175,                 1.3377,             1.5208e-05,             1.5208e-05,             1.5208e-05
                     88,                 1.1937,                0.81149,                 1.2604,                0.99213,                      1,                  0.995,                0.73581,                 1.1469,                 0.4927,                 1.3346,              1.436e-05,              1.436e-05,              1.436e-05
                     89,                  1.419,                0.94132,                 1.3963,                0.99213,                      1,                  0.995,                0.73581,                 1.1469,                 0.4927,                 1.3346,             1.3488e-05,             1.3488e-05,             1.3488e-05
                     90,                 1.0976,                0.74821,                 1.1799,                0.99213,                      1,                  0.995,                0.73581,                 1.1469,                 0.4927,                 1.3346,             1.2593e-05,             1.2593e-05,             1.2593e-05
                     91,                 1.2908,                0.97851,                  1.293,                0.99213,                      1,                  0.995,                0.73581,                 1.1469,                 0.4927,                 1.3346,             1.1674e-05,             1.1674e-05,             1.1674e-05
                     92,                 1.7469,                 1.4318,                  1.508,                0.99163,                      1,                  0.995,                0.71836,                   1.15,                0.49736,                 1.3271,             1.0732e-05,             1.0732e-05,             1.0732e-05
                     93,                 1.1628,                0.96187,                  1.121,                0.99163,                      1,                  0.995,                0.71836,                   1.15,                0.49736,                 1.3271,             9.7656e-06,             9.7656e-06,             9.7656e-06
                     94,                 1.3317,                 1.0255,                 1.2991,                0.99163,                      1,                  0.995,                0.71836,                   1.15,                0.49736,                 1.3271,             8.7761e-06,             8.7761e-06,             8.7761e-06
                     95,                  1.279,                 1.0444,                 1.2686,                0.99163,                      1,                  0.995,                0.71836,                   1.15,                0.49736,                 1.3271,             7.7631e-06,             7.7631e-06,             7.7631e-06
                     96,                 1.1421,                0.88225,                 1.1815,                0.98987,                      1,                  0.995,                0.72213,                 1.1443,                0.50293,                 1.3143,             6.7265e-06,             6.7265e-06,             6.7265e-06
                     97,                 1.5658,                  1.394,                 1.4129,                0.98987,                      1,                  0.995,                0.72213,                 1.1443,                0.50293,                 1.3143,             5.6663e-06,             5.6663e-06,             5.6663e-06
                     98,                 1.3046,                0.98181,                 1.2224,                0.98987,                      1,                  0.995,                0.72213,                 1.1443,                0.50293,                 1.3143,             4.5826e-06,             4.5826e-06,             4.5826e-06
                     99,                 1.2573,                0.95256,                 1.1867,                0.98987,                      1,                  0.995,                0.72213,                 1.1443,                0.50293,                 1.3143,             3.4753e-06,             3.4753e-06,             3.4753e-06
                    100,                 1.2813,                 1.0071,                 1.2669,                0.98885,                      1,                  0.995,                0.71765,                 1.1168,                0.51976,                 1.2901,             2.3444e-06,             2.3444e-06,             2.3444e-06
